path,kind,bytes,sha256,direct_workflow_count,direct_workflows,provenance,technical
assets/comfyui-input/reference-img1 (1).png,image,11758061,4458267a92c122f034af91e78a30d723a266b23aa463a662ad445a869e5662be,1,07-ALPHA-T1_00079_.api.json,AI-generated or AI-restored project reference image,video=png 3840x2160 fps=25/1
assets/comfyui-input/s01-t13-first2p5-edge-hold3p042-audio.mp4,video,2767154,f38f54ce0e5b33bfc0cd40633c0091a089ad25d17c0aec9661474a76d68aef30,1,11-ALPHA-T1_00111_.api.json,FFmpeg edge-motion carrier derived from a project H3 video,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=3.042s
assets/comfyui-input/s01-t13-first3s-edge-motion-audio.mp4,video,2681906,66fc20c41b4e38dff9bc3a1225b153e7aa9ec1f3af12a97ac50985b9a2290f6e,1,13-Backlot_h3auto_s01_quiet_please_pairSLAM_t15_1280x704_00001_.api.json,FFmpeg edge-motion carrier derived from a project H3 video,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=3.008s
assets/comfyui-input/s02-primary-t12-full.wav,audio,841678,4b63594c3d445fa0bc7f895937b3a4c8b094ad2253f0d1d0ad09a0cd75e94fda,2,12-Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.api.json;14-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t14_1056x608_00001_.api.json,Sound/audio reference extracted or prepared from project-generated material,audio=pcm_s16le 32000Hz ch=2; duration=6.575s
assets/comfyui-input/s02-t12-first5s-edge-motion-audio.mp4,video,596249,dbdab84bb385e1d52133c70bf47b9aa55d271ac186442700e69a4b1210079831,1,15-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.api.json,FFmpeg edge-motion carrier derived from a project H3 video,video=h264 960x544 fps=24/1; audio=aac 32000Hz ch=2; duration=5.024s
assets/comfyui-input/s04-openframe-restored.jpg,image,8184165,82b0c4b09356edb097e4f5f1291bfad43202e615aaa74776842617759791f46d,1,30-MiniMax_H3_00046_.api.json,AI-generated or AI-restored project reference image,video=mjpeg 5504x3072 fps=25/1; duration=0.040s
assets/comfyui-input/s06-villain-waistdown-backlot-v1.png,image,2042605,6121690ae6b3bd9517df6c2d9e56f11f148b4809c77c4980454f95541670a534,1,16-Backlot_h3auto_s06_the_assailant_waist_down_pairSCRAPE_t10_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/s08-scene-shop-source-rebuild-v1.png,image,2307627,f91735b696dffbe7a2467af60f5a65e0450bed53fed4902c2fffece0fda219b0,1,18-Backlot_h3auto_s08_someone_please_t13_1280x704_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/s08p5-t05-dry-three-impact.wav,audio,1262502,56275e4c6a29e0cd7cc52f486b1d80b2b8d3204162d0759804eb32dbe9e5dd90,1,28-Backlot_h3auto_s8.5_door_pounding_interior_foley_t07_1056x608_00001_.api.json,Sound/audio reference extracted or prepared from project-generated material,audio=pcm_s24le 32000Hz ch=2; duration=6.575s
assets/comfyui-input/s09-villain-rear-backlot-v1.png,image,2119467,99060c2882e1d6070405953f802203b964be3b4a9636415233cd2d1d77f0a9a6,1,19-Backlot_h3auto_s09_boots_in_the_rain_pairBOOTS_t10_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1676x939 fps=25/1
assets/comfyui-input/s10a-openframe-handle-light-right-v4-restored.png,image,8138088,12d493e065509a952ee67f3cc8bbb3876a36e8fa51929403081cee979d6943de,3,20-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t11_1056x608_00001_.api.json;21-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t12_1056x608_00001_.api.json;25-Backlot_h3auto_s11_red_light_off_pairDOOR_t11_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 2752x1536 fps=25/1
assets/comfyui-input/s10a-t10-final-wide-continuation.mp4,video,1194719,7eb86eaf6b29397626e1c974ed6e05871b6d8f8b06f14e50c99e4b1e60fb9ce2,1,24-Backlot_h3auto_s11_red_light_off_pairDOOR_t09_1056x608_00001_.api.json,"Project H3 video used as a motion, continuation, or audio reference",video=h264 1056x608 fps=24/1; duration=2.875s
assets/comfyui-input/s12-interior-pre-entry-closed-v1.png,image,2236792,fb40e4f109936f654cc657faefa5f73a180dd9d729f9566f9e4fb290775668b1,1,06-ALPHA-T1_00060_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/s12-openframe-closed-handle-grip-beacon-off-v10.png,image,1680257,7b34de122208bf1c8409b7b08e8980b615e329cc4efac96442a77729453d84c0,1,26-Backlot_h3auto_s12_door_opens_exterior_bridge_exterior_pairFINALE_t21_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/scrape-1st.png,image,6686746,075b98a7e0164ee5b5a9461bc59edeea2c93d2bb7eb741cfe0b70f27b0f683e5,1,05-ALPHA-T1_00056_.api.json,AI-generated or AI-restored project reference image,video=png 1920x1080 fps=25/1
assets/comfyui-input/scrape-audio.mp3,audio,240960,6b6cb8c94b196f3f6f9b6f21181d4e5af01e703ea89c65fb8c83b514d4fe8f23,1,05-ALPHA-T1_00056_.api.json,Sound/audio reference extracted or prepared from project-generated material,audio=mp3 48000Hz ch=2; duration=6.024s
assets/comfyui-input/scrape-last.png,image,7309454,74982b44c57f3d22998e81bd729795a1662da088eeda6b009a3f97a0e9cf29ec,1,05-ALPHA-T1_00056_.api.json,AI-generated or AI-restored project reference image,video=png 1920x1080 fps=25/1
assets/comfyui-input/studio-operator-grayer-hair-sheet.png,image,2396994,276b9dc5705e1e91214ebd2748e78cf0f73111b0d81c97205803670eb7cd499b,8,02-ALPHA-T1_00033_.api.json;06-ALPHA-T1_00060_.api.json;07-ALPHA-T1_00079_.api.json;11-ALPHA-T1_00111_.api.json;12-Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.api.json;13-Backlot_h3auto_s01_quiet_please_pairSLAM_t15_1280x704_00001_.api.json;17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json;22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/villain-s09-opening-frame.png,image,9281861,a158439cfe3920bfa1a74803a419982e64e98d6b306ae4082e523ce4262d2992,2,16-Backlot_h3auto_s06_the_assailant_waist_down_pairSCRAPE_t10_1056x608_00001_.api.json;19-Backlot_h3auto_s09_boots_in_the_rain_pairBOOTS_t10_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 2912x1632 fps=25/1
